NameKey,PublisherKey,DeveloperKey,RegionKey,Sales
0,85,0,0,0.65
0,85,0,1,0.14
0,85,0,2,0.21
0,85,0,3,0.0
1,167,0,0,0.0
1,167,0,1,0.0
1,167,0,2,0.03
1,167,0,3,0.0
2,361,0,0,0.81
2,361,0,1,0.23
2,361,0,2,0.52
2,361,0,3,0.11
3,127,0,0,0.27
3,127,0,1,0.27
3,127,0,2,0.0
3,127,0,3,0.05
4,127,0,0,0.21
4,127,0,1,0.26
4,127,0,2,0.0
4,127,0,3,0.04
5,349,0,0,0.0
5,349,0,1,0.0
5,349,0,2,0.04
5,349,0,3,0.0
6,349,156,0,0.2
6,349,156,1,0.12
6,349,156,2,0.45
6,349,156,3,0.07
7,349,0,0,0.0
7,349,0,1,0.0
7,349,0,2,0.17
7,349,0,3,0.0
8,349,0,0,0.11
8,349,0,1,0.09
8,349,0,2,0.0
8,349,0,3,0.03
9,349,0,0,0.0
9,349,0,1,0.0
9,349,0,2,0.16
9,349,0,3,0.0
10,349,0,0,0.0
10,349,0,1,0.0
10,349,0,2,0.17
10,349,0,3,0.0
11,53,351,0,0.49
11,53,351,1,0.38
11,53,351,2,0.26
11,53,351,3,0.13
12,349,0,0,0.0
12,349,0,1,0.0
12,349,0,2,0.14
12,349,0,3,0.0
13,53,351,0,0.23
13,53,351,1,0.18
13,53,351,2,0.2
13,53,351,3,0.06
14,53,351,0,0.14
14,53,351,1,0.11
14,53,351,2,0.17
14,53,351,3,0.04
15,53,0,0,0.09
15,53,0,1,0.07
15,53,0,2,0.0
15,53,0,3,0.02
16,349,0,0,0.0
16,349,0,1,0.0
16,349,0,2,0.03
16,349,0,3,0.0
17,21,1156,0,0.07
17,21,1156,1,0.03
17,21,1156,2,0.0
17,21,1156,3,0.01
18,21,1156,0,0.36
18,21,1156,1,0.28
18,21,1156,2,0.0
18,21,1156,3,0.1
19,21,1156,0,0.48
19,21,1156,1,0.24
19,21,1156,2,0.0
19,21,1156,3,0.07
20,21,1156,0,0.65
20,21,1156,1,0.4
20,21,1156,2,0.0
20,21,1156,3,0.19
21,21,1156,0,0.84
21,21,1156,1,0.35
21,21,1156,2,0.0
21,21,1156,3,0.12
22,139,497,0,0.3
22,139,497,1,0.2
22,139,497,2,0.0
22,139,497,3,0.03
23,21,1577,0,0.11
23,21,1577,1,0.01
23,21,1577,2,0.0
23,21,1577,3,0.01
24,21,1500,0,0.01
24,21,1500,1,0.01
24,21,1500,2,0.0
24,21,1500,3,0.0
25,21,0,0,0.17
25,21,0,1,0.0
25,21,0,2,0.0
25,21,0,3,0.26
26,21,1500,0,0.43
26,21,1500,1,0.51
26,21,1500,2,0.02
26,21,1500,3,0.19
27,21,1500,0,0.29
27,21,1500,1,0.28
27,21,1500,2,0.01
27,21,1500,3,0.07
28,21,1500,0,0.82
28,21,1500,1,0.51
28,21,1500,2,0.01
28,21,1500,3,0.14
29,139,0,0,1.13
29,139,0,1,0.38
29,139,0,2,0.02
29,139,0,3,0.03
30,139,206,0,0.51
30,139,206,1,0.35
30,139,206,2,0.0
30,139,206,3,0.06
31,139,0,0,1.72
31,139,0,1,1.33
31,139,0,2,0.0
31,139,0,3,0.16
32,112,451,0,0.08
32,112,451,1,0.0
32,112,451,2,0.0
32,112,451,3,0.01
33,266,0,0,0.0
33,266,0,1,0.0
33,266,0,2,0.01
33,266,0,3,0.0
34,21,81,0,0.06
34,21,81,1,0.01
34,21,81,2,0.0
34,21,81,3,0.01
35,527,1525,0,0.35
35,527,1525,1,0.12
35,527,1525,2,0.0
35,527,1525,3,0.04
36,361,594,0,0.12
36,361,594,1,0.52
36,361,594,2,0.0
36,361,594,3,0.02
37,435,455,0,0.0
37,435,455,1,0.03
37,435,455,2,0.0
37,435,455,3,0.0
38,361,0,0,0.0
38,361,0,1,0.02
38,361,0,2,0.0
38,361,0,3,0.0
39,57,142,0,0.11
39,57,142,1,0.16
39,57,142,2,0.0
39,57,142,3,0.04
40,368,1028,0,0.05
40,368,1028,1,0.12
40,368,1028,2,0.0
40,368,1028,3,0.02
41,368,0,0,0.19
41,368,0,1,0.01
41,368,0,2,0.0
41,368,0,3,0.02
42,368,1028,0,0.08
42,368,1028,1,0.0
42,368,1028,2,0.0
42,368,1028,3,0.01
43,368,1028,0,0.02
43,368,1028,1,0.0
43,368,1028,2,0.0
43,368,1028,3,0.0
44,361,0,0,1.25
44,361,0,1,0.61
44,361,0,2,0.13
44,361,0,3,0.05
45,7,0,0,0.0
45,7,0,1,0.0
45,7,0,2,0.02
45,7,0,3,0.0
46,7,0,0,0.0
46,7,0,1,0.0
46,7,0,2,0.02
46,7,0,3,0.0
47,108,0,0,0.0
47,108,0,1,0.0
47,108,0,2,0.04
47,108,0,3,0.0
48,215,0,0,0.0
48,215,0,1,0.0
48,215,0,2,0.07
48,215,0,3,0.0
49,215,0,0,0.0
49,215,0,1,0.0
49,215,0,2,0.05
49,215,0,3,0.0
50,113,363,0,0.0
50,113,363,1,0.01
50,113,363,2,0.0
50,113,363,3,0.0
51,121,1192,0,0.0
51,121,1192,1,0.25
51,121,1192,2,0.0
51,121,1192,3,0.04
52,17,45,0,0.09
52,17,45,1,0.02
