NameKey,PublisherKey,DeveloperKey,Critic_Score,Critic_Count,User_Score,User_Count
5554,139,0,43.0,12.0,5.0,56.0
14442,504,0,83.0,5.0,7.7,88.0
417,339,0,48.0,6.0,4.4,8.0
1343,327,0,62.0,25.0,7.5,15.0
163,85,265,78.0,51.0,8.4,79.0
503,85,265,78.0,48.0,8.1,84.0
769,85,265,66.0,20.0,7.5,13.0
1531,85,265,83.0,10.0,8.9,45.0
1532,85,265,78.0,28.0,6.9,35.0
1851,85,265,65.0,11.0,5.3,4.0
1852,85,265,57.0,33.0,4.8,5.0
1855,85,265,68.0,20.0,8.9,27.0
1856,85,265,80.0,26.0,8.7,13.0
1857,85,265,81.0,22.0,7.9,27.0
2026,85,265,65.0,34.0,8.2,58.0
2695,85,265,74.0,27.0,7.9,25.0
2762,85,265,78.0,6.0,6.6,30.0
2763,85,265,85.0,82.0,7.6,520.0
2967,85,265,64.0,27.0,7.4,12.0
2968,85,265,94.0,37.0,8.5,466.0
2969,85,265,68.0,40.0,6.6,167.0
2970,85,265,84.0,60.0,9.0,212.0
2972,85,265,78.0,21.0,8.5,353.0
2973,85,265,84.0,63.0,8.2,311.0
2975,85,265,84.0,61.0,8.0,248.0
3046,85,265,51.0,28.0,4.1,22.0
3050,85,265,50.0,18.0,6.3,8.0
3569,85,265,78.0,38.0,8.3,444.0
3570,85,265,75.0,59.0,7.8,320.0
4577,85,265,43.0,36.0,6.2,11.0
4986,85,265,83.0,27.0,8.6,10.0
5021,85,265,83.0,60.0,9.0,127.0
5164,85,265,56.0,24.0,8.2,17.0
5291,85,265,57.0,17.0,6.0,5.0
5663,85,265,67.0,33.0,8.8,44.0
7402,85,265,63.0,15.0,6.3,87.0
7403,85,265,68.0,56.0,6.9,62.0
7408,85,265,67.0,34.0,7.0,36.0
7409,85,265,79.0,76.0,7.1,187.0
7835,85,265,84.0,56.0,7.3,147.0
7903,85,265,83.0,46.0,7.8,13.0
7904,85,265,84.0,33.0,8.7,16.0
7994,85,265,54.0,25.0,8.3,8.0
7995,85,265,79.0,10.0,8.9,24.0
8007,85,265,76.0,10.0,8.8,29.0
8008,85,265,79.0,34.0,8.3,44.0
8010,85,265,82.0,28.0,7.5,36.0
8016,85,265,75.0,23.0,9.2,12.0
8017,85,265,67.0,21.0,7.3,12.0
8023,85,265,76.0,10.0,8.9,55.0
8024,85,265,65.0,14.0,6.8,44.0
8487,85,265,68.0,37.0,8.9,46.0
8491,85,265,71.0,34.0,8.6,78.0
8493,85,265,72.0,38.0,8.7,83.0
8495,85,265,81.0,48.0,8.7,124.0
9824,85,265,82.0,48.0,7.9,53.0
9868,85,265,84.0,31.0,9.0,52.0
9869,85,265,85.0,53.0,8.6,73.0
9871,85,265,64.0,21.0,8.7,7.0
9872,85,265,65.0,33.0,6.9,7.0
9873,85,265,81.0,45.0,8.9,62.0
10250,85,265,81.0,53.0,9.2,203.0
10532,85,265,74.0,34.0,6.8,6.0
11143,85,265,84.0,21.0,8.4,189.0
11145,85,265,59.0,15.0,8.5,31.0
11149,85,265,62.0,14.0,8.3,44.0
11151,85,265,96.0,82.0,9.4,767.0
11153,85,265,96.0,38.0,8.9,1013.0
11157,85,265,86.0,30.0,7.1,597.0
11158,85,265,84.0,76.0,7.5,667.0
11159,85,265,83.0,91.0,7.5,523.0
11163,85,265,74.0,34.0,5.4,1304.0
11164,85,265,60.0,19.0,6.7,94.0
11165,85,265,67.0,71.0,5.0,1407.0
11166,85,265,63.0,12.0,6.3,34.0
11167,85,265,76.0,11.0,8.9,41.0
11168,85,265,62.0,17.0,8.2,37.0
11173,85,265,58.0,35.0,7.7,70.0
11179,85,265,71.0,41.0,8.4,36.0
11183,85,265,71.0,40.0,8.3,94.0
11184,85,265,82.0,78.0,8.5,397.0
11185,85,265,77.0,12.0,7.0,342.0
11186,85,265,74.0,30.0,7.2,204.0
11187,85,265,80.0,19.0,7.5,146.0
11188,85,265,75.0,30.0,7.4,170.0
11190,85,265,75.0,30.0,7.7,284.0
11193,85,265,75.0,22.0,7.5,106.0
11196,85,265,65.0,69.0,6.4,110.0
11937,85,265,61.0,37.0,7.9,29.0
11938,85,265,65.0,18.0,8.8,13.0
