DeveloperKey,Developer
0,
1,10tacle Studios
2,"10tacle Studios, Fusionsphere Systems"
3,"1C, 1C Company"
4,"1C, Ino-Co, 1C Company"
5,"1C, Various, 1C Company"
6,1C: Maddox Games
7,1C:Ino-Co
8,1st Playable Productions
9,2015
10,2D Boy
11,2K Australia
12,2K Czech
13,2K Games
14,2K Marin
15,2K Play
16,2K Shanghai
17,2K Sports
18,2XL Games
19,343 Industries
20,369 Interactive
21,3DO
22,3G Studios
23,3d6 Games
24,49Games
25,4A Games
26,4J Studios
27,5000ft
28,505 Games
29,"505 Games, Sarbakan Inc."
30,5TH Cell
31,5pb
32,7 Studios
33,777 Studios
34,7Raven Studios
35,8Monkey Labs
36,8ing/Raizing
37,989 Sports
38,ACOT
39,AI
40,AQ Interactive
41,AWE Games
42,Access Games
43,Acclaim
44,Acclaim Studios Austin
45,Acclaim Studios Cheltenham
46,Acclaim Studios Manchester
47,Acquire
48,Activision
49,Activision Value
50,"Activision, Activision Blizzard"
51,"Activision, Behaviour Interactive"
52,"Activision, FreeStyleGames"
53,"Activision, Traveller's Tales"
54,Adrenium
55,Agatsuma Entertainment
56,Agenda
57,Agetec
58,Airtight Games
59,Akella
60,Aki Corp.
61,"Alawar Entertainment, Inc, Alawar Entertainment"
62,"Alchemist, Inti Creates"
63,Alfa System
64,Alpha Unit
65,Alphadream Corporation
66,Alternative Software
67,Altron
68,Amanita Design
69,Amaze
70,Amaze Entertainment
71,"Amaze Entertainment, Griptonite Games"
72,"Amaze Entertainment, Vivendi Games"
73,"Amaze Entertainment, Walt Disney Japan"
74,Amble
75,Ambrella
76,"Ambrella, The Pokemon Company"
77,Amedio
78,Amusement Vision
79,Amuze
80,Anchor
81,Anchor Bay Entertainment
82,Ancient
83,Andamiro U.S.A. Corp.
84,Angel Studios
85,Animation Arts
86,Anino Entertainment
87,ApolloSoft
88,Appaloosa Interactive
89,Aqua Pacific
90,"Aqua Pacific, In2Games"
91,Aqua Plus
92,Aquria
93,Arc System Works
94,Arcade Moon
95,ArenaNet
96,Argonaut Games
97,Arika
98,Arkane Studios
99,Arkedo Studio
100,Armature Studio
101,"Armature Studio, comcept"
102,Arrowhead Game Studios
103,Art
104,Artdink
105,ArtePiazza
106,Artech Studios
107,Artefacts Studio
108,Artificial Mind and Movement
109,"Artificial Mind and Movement, EA Redwood Shores"
110,"Artificial Mind and Movement, Polygon Magic"
111,"Artificial Studios, Immersion Software & Graphics"
112,Artoon
113,Arts Software
114,Arzest
115,Ascaron Entertainment GmbH
116,"Ascaron Entertainment GmbH, Ascaron Entertainment"
117,"Asmik Ace Entertainment, Inc"
118,Asobo Studio
119,Aspect
120,"Aspect, Takara Tomy"
121,Aspyr
122,Astroll
123,Asylum Entertainment
124,Atari
125,"Atari, Atari SA"
126,"Atari, Slightly Mad Studios, Atari SA"
127,"Atari, Transmission Games, Atari SA"
128,Atlus
129,Atlus Co.
130,"Atlus, Dingo Inc."
131,Atomic Games
132,Atomic Motion
133,Atomic Planet Entertainment
134,"Atomic Planet Entertainment, Mud Duck Productions"
135,Attention Software
136,Attention To Detail
137,Attractive Games
138,Autumn Moon
139,Avalanche Software
140,Avalanche Studios
141,Avalon Style
142,Avanquest Software
143,Avit-Niigata
144,Awesome Play Ltd.
145,Awesome Studios
146,Axis Entertainment
147,B-Alive
148,B.B.Studio
149,BIP Games
150,Babylon Software
151,Backbone Emeryville
152,Backbone Entertainment
153,Backbone Vancouver
154,Bam Entertainment
155,Bandai
156,Bandai Namco Games
157,"Bandai Namco Games, Artdink"
158,Banpresto
159,"Banpresto, SoftMax"
160,Barking Lizards
161,Barnhouse Effect
162,Barnstorm Games
163,BattleGoat Studios
164,"Battlefront.com, 1C, 1C Company"
165,Bec
166,BeeWorks
167,Beenox
