VideoGameKey,Name,Genre,Platform,Rating,Year_of_Release
0,1942,Shooter,NES,,1985
1, Beyblade Burst,Role-Playing,3DS,,2016
2, Fire Emblem Fates,Role-Playing,3DS,,2015
3, Frozen: Olaf's Quest,Platform,3DS,,2013
4, Frozen: Olaf's Quest,Platform,DS,,2013
5, Haikyu!! Cross Team Match!,Adventure,3DS,,2016
6, Tales of Xillia 2,Role-Playing,PS3,T,2012
7,.hack//G.U. Vol.1//Rebirth,Role-Playing,PS2,,2006
8,.hack//G.U. Vol.2//Reminisce,Role-Playing,PS2,,2006
9,.hack//G.U. Vol.2//Reminisce (jp sales),Role-Playing,PS2,,2006
10,.hack//G.U. Vol.3//Redemption,Role-Playing,PS2,,2007
11,.hack//Infection Part 1,Role-Playing,PS2,T,2002
12,.hack//Link,Role-Playing,PSP,,2010
13,.hack//Mutation Part 2,Role-Playing,PS2,T,2002
14,.hack//Outbreak Part 3,Role-Playing,PS2,T,2002
15,.hack//Quarantine Part 4: The Final Chapter,Role-Playing,PS2,,2003
16,.hack: Sekai no Mukou ni + Versus,Action,PS3,,2012
17,[Prototype 2],Action,PC,M,2012
18,[Prototype 2],Action,PS3,M,2012
19,[Prototype 2],Action,X360,M,2012
20,[Prototype],Action,PS3,M,2009
21,[Prototype],Action,X360,M,2009
22,007 Racing,Racing,PS,T,2000
23,007: Quantum of Solace,Action,DS,T,2008
24,007: Quantum of Solace,Action,PC,T,2008
25,007: Quantum of Solace,Action,PS2,,2008
26,007: Quantum of Solace,Action,PS3,T,2008
27,007: Quantum of Solace,Action,Wii,T,2008
28,007: Quantum of Solace,Action,X360,T,2008
29,007: The World is not Enough,Action,N64,,2000
30,007: The World is not Enough,Action,PS,T,2000
31,007: Tomorrow Never Dies,Shooter,PS,,1999
32,1 vs. 100,Misc,DS,E,2008
33,1/2 Summer +,Adventure,PSP,,2013
34,10 Minute Solution,Sports,Wii,E,2010
35,100 All-Time Favorites,Puzzle,DS,E,2009
36,100 Classic Books,Misc,DS,,2008
37,100 Classic Games,Misc,DS,,2011
38,1000 Cooking Recipes from ELLE à table,Misc,DS,,2010
39,1001 Touch Games,Action,DS,E,2011
40,101-in-1 Explosive Megamix,Puzzle,DS,E,2008
41,101-in-1 Party Megamix Wii,Misc,Wii,,2009
42,101-in-1 Sports Megamix,Sports,DS,E10+,2010
43,101-in-1 Sports Party Megamix,Sports,Wii,E10+,2010
44,1080°: TenEighty Snowboarding,Sports,N64,,1998
45,11eyes: CrossOver,Adventure,PSP,,2010
46,11eyes: CrossOver,Adventure,X360,,2009
47,12Riven: The Psi-Climinal of Integral,Adventure,PS2,,2008
48,12-Sai. Honto no Kimochi,Adventure,3DS,,2014
49,12-Sai. Koisuru Diary,Adventure,3DS,,2016
50,15 Days,Adventure,PC,,2009
51,1701 A.D.,Simulation,PC,E10+,2006
52,18 Wheeler: American Pro Trucker,Racing,GC,E,2002
53,18 Wheeler: American Pro Trucker,Racing,PS2,E,2001
54,18 Wheels of Steel: Extreme Trucker,Racing,PC,,2009
