PublisherKey,Publisher
0,10TACLE Studios
1,1C Company
2,20th Century Fox Video Games
3,2D Boy
4,3DO
5,49Games
6,505 Games
7,5pb
8,7G//AMES
9,989 Sports
10,989 Studios
11,AQ Interactive
12,ASC Games
13,ASCII Entertainment
14,ASCII Media Works
15,ASK
16,Abylight
17,Acclaim Entertainment
18,Accolade
19,Ackkstudios
20,Acquire
21,Activision
22,Activision Blizzard
23,Activision Value
24,Adeline Software
25,Aerosoft
26,Agatsuma Entertainment
27,Agetec
28,Aksys Games
29,Alawar Entertainment
30,Alchemist
31,Alternative Software
32,Altron
33,Alvion
34,American Softworks
35,Angel Studios
36,Answer Software
37,Aqua Plus
38,Aques
39,Arc System Works
40,Arena Entertainment
41,Aria
42,Arika
43,ArtDink
44,Aruze Corp
45,Ascaron Entertainment
46,Ascaron Entertainment GmbH
47,Asgard
48,Asmik Ace Entertainment
49,Asmik Corp
50,Aspyr
51,Astragon
52,Asylum Entertainment
53,Atari
54,Athena
55,Atlus
56,Avalon Interactive
57,Avanquest
58,Avanquest Software
59,Axela
60,BAM! Entertainment
61,BMG Interactive Entertainment
62,BPS
63,Banpresto
64,Benesse
65,Berkeley
66,Bethesda Softworks
67,Big Ben Interactive
68,Big Fish Games
69,Bigben Interactive
70,Black Bean Games
71,Black Label Games
72,Blast! Entertainment Ltd
73,Blue Byte
74,Bohemia Interactive
75,Bomb
76,Boost On
77,Brash Entertainment
78,Broccoli
79,BushiRoad
80,CBS Electronics
81,CCP
82,CDV Software Entertainment
83,CPG Products
84,CTO SpA
85,Capcom
86,Cave
87,ChunSoft
88,City Interactive
89,Cloud Imperium Games Corporation
90,Coconuts Japan
91,Codemasters
92,Codemasters Online
93,CokeM Interactive
94,Coleco
95,Comfort
96,Commseed
97,Compile
98,Compile Heart
99,Conspiracy Entertainment
100,Core Design Ltd.
101,Crave Entertainment
102,Creative Core
103,Crimson Cow
104,Crystal Dynamics
105,Crytek
106,Culture Brain
107,Culture Publishers
108,CyberFront
109,Cygames
110,D3Publisher
111,DHM Interactive
112,DSI Games
113,DTP Entertainment
114,Daedalic
115,Daedalic Entertainment
116,Daito
117,Data Age
118,Data Design Interactive
119,Data East
120,Datam Polystar
121,Deep Silver
122,"Destination Software, Inc"
123,Destineer
124,Detn8 Games
125,Devolver Digital
126,DigiCube
127,Disney Interactive Studios
128,Dorart
129,DreamCatcher Interactive
130,DreamWorks Interactive
131,Dusenberry Martin Racing
132,EA Games
133,EON Digital Entertainment
134,ESP
135,Easy Interactive
136,Ecole
137,Edia
138,Eidos Interactive
139,Electronic Arts
140,Electronic Arts Victor
141,Elf
142,Elite
